Rank,"Name, Team",Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG
168.0,"Ronshad Shabazz, App State",So.,2023-06-05 00:00:00,G,30,176,66,84,502,16.7
,"Kendall Smith, CSUN",Jr.,2023-06-03 00:00:00,G,30,171,45,115,502,16.7
170.0,"Paul Miller, North Dakota St.",Jr.,2023-06-06 00:00:00,G,30,161,74,105,501,16.7
171.0,"Ian Baker, New Mexico St.",Sr.,6-0,G,33,164,63,160,551,16.7
172.0,"De'Aaron Fox, Kentucky",Fr.,2023-06-03 00:00:00,G,36,214,17,156,601,16.7
173.0,"Antonio Green, UTRGV",So.,2023-06-02 00:00:00,G,32,177,111,69,534,16.7
174.0,"Michael Weathers, Miami (OH)",Fr.,2023-06-02 00:00:00,G,32,177,19,160,533,16.7
175.0,"Antonius Cleveland, Southeast Mo. St.",Sr.,2023-06-06 00:00:00,G,33,208,28,105,549,16.6
176.0,"Isaiah Johnson, Akron",Sr.,2023-06-10 00:00:00,C,36,223,0,152,598,16.6
177.0,"Phillip Carr, Morgan St.",Jr.,2023-06-08 00:00:00,F,25,150,13,102,415,16.6
178.0,"Divine Myles, Stetson",Jr.,2023-05-11 00:00:00,G,31,189,30,105,513,16.5
179.0,"Jordon Varnado, Troy",So.,2023-06-06 00:00:00,F,37,233,28,118,612,16.5
180.0,"Mikey Dixon, Quinnipiac",Fr.,2023-06-02 00:00:00,G,31,171,60,110,512,16.5
181.0,"Rob Edwards, Cleveland St.",So.,2023-06-04 00:00:00,G,31,167,63,114,511,16.5
182.0,"Quinndary Weatherspoon, Mississippi St.",So.,2023-06-04 00:00:00,G,29,173,47,85,478,16.5
183.0,"Deandre Burnett, Ole Miss",Jr.,2023-06-02 00:00:00,G,33,139,73,192,543,16.5
,"Xavier Cooks, Winthrop",Jr.,2023-06-08 00:00:00,F,33,196,38,113,543,16.5
,"Zach LeDay, Virginia Tech",Sr.,2023-06-07 00:00:00,F,33,183,11,166,543,16.5
186.0,"Devin Carter, Arkansas St.",Sr.,2023-06-05 00:00:00,G,32,177,102,70,526,16.4
