RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2011,Drafted?,Draft Pick,Draft Year
133,Mickey McConnell,G,34,37.0,16.4,5.2,10.3,50.4,2.3,5.0,45.6,3.7,4.2,88.7,2.5,6.1,1.2,0.2,2.3,,,,,,
134,Lenny Daniel,F,32,28.5,16.3,5.8,10.3,56.4,0.0,0.0,0.0,4.8,8.3,57.7,9.4,0.7,0.4,1.2,2.7,,,,,,
135,Trey Zeigler,G,31,34.4,16.3,6.2,15.6,39.5,0.8,2.5,32.9,3.2,5.6,56.6,5.4,2.1,1.4,0.9,3.3,,,,,,
136,Greg Mangano,F,28,32.0,16.3,6.1,12.6,48.4,1.1,2.9,36.6,3.0,4.3,70.8,10.0,0.5,0.4,3.0,2.0,,,,,,
137,Omar Carter,G,31,33.6,16.3,5.9,12.7,46.6,1.2,3.1,40.0,3.2,4.2,75.6,5.8,1.3,0.8,0.2,1.7,,,,,,
137,George Beamon,G,31,36.8,16.3,5.8,13.3,43.7,0.2,1.3,15.0,4.5,6.1,73.9,6.1,1.3,1.5,0.5,2.1,,,,,,
139,Michael Thompson,G,34,37.3,16.3,5.6,12.3,45.2,2.8,7.1,39.3,2.4,2.9,82.5,2.2,4.3,1.4,0.1,1.9,,,,,,
140,Bill Clark,G-F,32,31.0,16.3,5.1,10.9,46.3,2.3,6.2,37.9,3.8,5.1,74.7,6.2,2.5,1.5,0.5,2.0,,,,,,
140,Eric Wise,F,20,29.5,16.3,5.5,12.3,44.9,0.3,1.1,28.6,5.0,6.5,76.2,8.1,1.6,0.9,0.1,2.5,,,,,,
140,James Nunnally,G,32,33.0,16.3,5.2,11.2,46.6,1.9,5.3,36.9,3.9,4.7,82.7,5.7,1.8,0.4,0.3,2.1,,,,,,
143,Brian Mills,F,33,30.6,16.2,5.9,13.0,45.6,0.6,2.1,27.5,3.8,5.3,72.2,6.0,1.2,0.9,0.5,2.3,,,,,,
144,Zach Kinsley,G-F,21,29.9,16.2,5.9,12.3,47.9,1.8,4.6,38.5,2.6,3.6,72.4,4.1,1.5,1.0,0.2,2.0,,,,,,
145,Ricky Cadell,G,30,31.3,16.2,5.1,13.3,38.7,2.2,6.7,32.3,3.7,4.8,78.3,3.7,1.8,1.1,0.0,2.5,,,,,,
145,Charlie Westbrook,G,30,28.5,16.2,6.2,13.0,47.9,0.7,2.3,28.6,3.0,4.5,67.9,4.7,1.2,1.1,0.6,2.3,,,,,,
147,Damier Pitts,G,25,32.1,16.2,4.8,11.8,40.5,1.9,5.9,32.0,4.8,5.6,84.4,2.8,4.7,0.6,0.1,2.8,,,,,,
148,Patrick Richard,G-F,31,32.9,16.1,5.3,11.1,47.5,1.1,3.0,36.2,4.5,5.9,76.4,6.4,2.5,1.4,0.4,2.3,,,,,,
149,James Johnson,G,32,33.9,16.1,5.5,13.8,39.8,2.6,6.8,38.5,2.5,3.0,81.4,4.2,3.5,1.6,0.1,1.5,Yes,16.0,2009.0,,,
150,Kwame Morgan,G,33,33.3,16.1,5.1,13.6,37.1,3.0,8.3,36.6,2.9,3.6,80.0,4.5,1.3,1.5,0.1,1.3,,,,,,
151,Cory Higgins,G,38,32.2,16.1,5.3,12.1,43.4,0.9,2.8,34.0,4.6,5.3,86.6,3.3,2.5,1.0,0.4,2.1,,,,,,
